ID	jobs	opt_TT	time	status	LB
20299	8	1198	3599,75	Unfinished	1065,14
20300	8	414	3599,38	Unfinished	359,058
20301	8	23	819,719	Optimum found	23
20302	8	46	15,528	Optimum found	46
20303	8	139	3599,56	Unfinished	94
20304	8	225	17,324	Optimum found	225
20305	8	409	4,179	Optimum found	409
20306	8	477	18,466	Optimum found	477
20307	8	600	241,052	Optimum found	599,984
20308	8	1202	110,808	Optimum found	1201,94
20309	8	1229	677,886	Optimum found	1228,92
20310	8	1305	531,641	Optimum found	1303,71
20311	8	979	7,229	Optimum found	978,916
20312	8	348	6,978	Optimum found	348
20313	8	66	14,727	Optimum found	66
20314	8	0	104,657	Optimum found	0
20315	8	0	21,483	Optimum found	0
20316	8	609	3599,27	Unfinished	478
20317	8	704	356,2	Optimum found	703,971
20318	8	172	128,834	Optimum found	171,991
20319	8	697	76,645	Optimum found	696,984
20320	8	723	40,168	Optimum found	722,979
20321	8	903	3010,37	Optimum found	902,913
20322	8	1103	1114,02	Optimum found	1102,89
20323	8	1365	51,55	Optimum found	1364,96
20324	8	2048	781,881	Optimum found	2047,82
20325	8	19	530,048	Optimum found	19
20326	8	67	67,793	Optimum found	67
20327	8	86	55,938	Optimum found	86
20328	8	507	761,563	Optimum found	506,5
20329	8	324	303,152	Optimum found	323,976
20330	8	88	1,618	Optimum found	88
20331	8	479	3599,66	Unfinished	325
20332	8	605	3599,33	Unfinished	552
20333	8	591	31,726	Optimum found	591
20334	8	921	3,485	Optimum found	921
20335	8	899	111,085	Optimum found	898,951
20336	8	709	11,854	Optimum found	709
20337	8	370	3599,75	Unfinished	310
20338	8	387	3599,8	Unfinished	312
20339	8	242	3599,93	Unfinished	209,074
20340	8	48	101,296	Optimum found	48
20341	8	488	6,536	Optimum found	488
20342	8	0	1,947	Optimum found	0
20343	8	355	3599,37	Unfinished	195
20344	8	928	64,808	Optimum found	927,976
20345	8	1044	1735,75	Optimum found	1043,91
20346	8	1236	711,008	Optimum found	1235,91
20347	8	833	127,137	Optimum found	832,998
20348	8	1535	172,847	Optimum found	1534,95
20349	8	277	346,691	Optimum found	276,999
20350	8	189	3434,29	Optimum found	188,819
20351	8	182	2245,2	Optimum found	182
20352	8	347	38,557	Optimum found	347
20353	8	200	3,139	Optimum found	200
20354	8	0	2,07	Optimum found	0
20355	8	1152	493,773	Optimum found	1152
20356	8	1260	1403,38	Optimum found	1260
20357	8	923	92,165	Optimum found	923
20358	8	495	4,274	Optimum found	495
20359	8	402	42,401	Optimum found	402
20360	8	928	102,352	Optimum found	928
20361	8	37	122,991	Optimum found	37
20362	8	24	76,767	Optimum found	24
20363	8	47	2717,19	Optimum found	47
20364	8	332	3599,46	Unfinished	225
20365	8	244	428,615	Optimum found	244
20366	8	427	6,86	Optimum found	427
20367	8	436	3600,8	Unfinished	282
20368	8	841	738,079	Optimum found	841
20369	8	337	142,605	Optimum found	337
20370	8	1223	7,035	Optimum found	1223
20371	8	651	111,535	Optimum found	651
20372	8	254	3599,21	Unfinished	219
20373	8	119	20,317	Optimum found	119
20374	8	294	3599,66	Unfinished	255
20375	8	84	3600,03	Unfinished	65
20376	8	228	3,754	Optimum found	228
20377	8	121	60,613	Optimum found	121
20378	8	409	4,086	Optimum found	409
20379	8	809	3599,98	Unfinished	452
20380	8	793	3599,84	Unfinished	708
20381	8	721	986,57	Optimum found	721
20382	8	623	3599,15	Unfinished	537
20383	8	619	124,308	Optimum found	619
20384	8	1041	175,627	Optimum found	1041
20385	8	3	1130,84	Optimum found	3
20386	8	112	22,706	Optimum found	112
20387	8	355	250,451	Optimum found	355
20388	8	317	11,999	Optimum found	317
20389	8	71	227,128	Optimum found	71
20390	8	385	34,836	Optimum found	385
20391	8	595	180,972	Optimum found	595
20392	8	670	3601,58	Unfinished	367
20393	8	632	87,531	Optimum found	632
20394	8	530	230,195	Optimum found	530
20395	8	1507	12,249	Optimum found	1507
20396	8	1035	126,739	Optimum found	1035
20397	8	59	68,953	Optimum found	59
20398	8	0	35,992	Optimum found	0
20399	8	0	6,564	Optimum found	0
20400	8	177	264,246	Optimum found	177
20401	8	114	3,987	Optimum found	114
20402	8	451	7,971	Optimum found	451
20403	8	512	56,262	Optimum found	512
20404	8	332	3607,53	Unfinished	205
20405	8	687	54,971	Optimum found	687
20406	8	382	818,007	Optimum found	382
20407	8	208	56,183	Optimum found	208
