instance,alpha,solution,time,gap,lb,nodes,ub
20406,0.1,427.253172,3600.001521,0.05705,402.878398,386076,427.253172
20407,0.1,219.132083,94.835199,0.0,219.132083,12489,219.132083
20408,0.1,159.818827,850.014814,0.0,159.818827,215779,159.818827
20409,0.1,138.015089,774.72385,0.0,138.015089,146114,138.015089
20410,0.1,301.744412,3600.000702,0.381876,186.515481,844785,301.744412
20411,0.1,135.051493,3600.000422,0.275034,97.907692,903165,135.051493
20412,0.1,300.045622,13.252607,0.0,300.045622,1288,300.045622
20413,0.1,480.369505,3600.000443,0.300921,335.816,703362,480.369505
20414,0.1,129.419092,24.286656,0.0,129.419092,2989,129.419092
20415,0.1,389.651864,3520.77697,0.0,389.651864,1202911,389.651864
20416,0.1,794.023475,3600.000377,0.373097,497.775987,391528,794.023475
20417,0.1,703.593244,3600.000473,0.118384,620.298955,318327,703.593244
20418,0.1,688.019337,3600.000387,0.098924,619.957537,877669,688.019337
20419,0.1,682.642072,3600.000502,0.180734,559.265468,678708,682.642072
20420,0.1,405.560028,1340.195319,0.0,405.560028,206681,405.560028
20421,0.1,111.867893,3600.000655,0.153604,94.684488,423864,111.867893
20422,0.1,474.955142,3600.000538,0.197955,380.935326,687537,474.955142
20423,0.1,452.653601,3600.000427,0.251018,339.029209,1204333,452.653601
20424,0.1,41.0,5.242312,0.0,41.0,1050,41.0
20425,0.1,138.5204,58.84967,0.0,138.5204,7664,138.5204
20426,0.1,434.340334,28.085165,0.0,434.340334,2806,434.340334
20427,0.1,881.752058,3600.001628,0.249532,661.726813,265011,881.752058
20428,0.1,1217.150822,3600.000439,0.037508,1171.498164,1207671,1217.150822
20429,0.1,969.188807,3600.000607,0.110049,862.530974,450816,969.188807
20430,0.1,1482.152579,2687.47551,0.0,1482.152579,241355,1482.152579
20431,0.1,1086.60222,3600.000703,0.072117,1008.239327,524145,1086.60222
20432,0.1,188.857165,79.298026,0.0,188.857165,13282,188.857165
20433,0.1,52.819265,3600.001395,1.0,0.0,213448,52.819265
20434,0.1,372.382239,3600.004132,0.828992,63.680477,191712,372.382239
20435,0.1,20.208503,3600.000702,0.213844,15.887027,270459,20.208503
20436,0.1,454.606297,3600.003725,0.479159,236.777751,238336,454.606297
20437,0.1,267.237781,17.891534,0.0,267.237781,1143,267.237781
20438,0.1,719.561866,3600.001845,0.404228,428.694847,407534,719.561866
20439,0.1,774.121768,3600.001248,0.518279,372.91099,504592,774.121768
20440,0.1,764.984483,3600.000834,0.261357,565.050681,258926,764.984483
20441,0.1,763.942909,3600.003639,0.595663,308.890097,439508,763.942909
20442,0.1,663.147636,3600.001156,0.518148,319.538945,471970,663.147636
20443,0.1,1174.629714,3600.001439,0.298141,824.42454,630179,1174.629714
20444,0.1,983.496685,3600.004504,0.3148,673.891749,417900,983.496685
20445,0.1,0.0,422.485031,0.0,0.0,43125,0.0
20446,0.1,328.554376,3600.017462,0.567074,142.23963,357708,328.554376
20447,0.1,273.38872,3600.003901,0.628333,101.609649,190884,273.38872
20448,0.1,725.762809,3600.003815,0.271659,528.602635,226799,725.762809
20449,0.1,606.2081,3600.005673,0.229847,466.873258,288458,606.2081
20450,0.1,626.802668,3600.00753,0.012784,618.789638,159578,626.802668
20451,0.1,1325.039921,3600.008012,0.645232,470.081458,204974,1325.039921
